Sex,Length,Diameter,Height,Whole-weight,Shucked-weight,Viscera-weight,Shell-weight,Rings
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],3
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
F,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],0
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
I,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],2
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
M,[0.075~0.515],[0.055~0.35],[0.0~0.18],[0.002~0.9225],[0.001~0.495],[0.0005~0.2075],[0.0015~0.3505],1
